1,1,High-end Smartphone,A feature-rich smartphone,phone1.jpg,699.99,TRUE
2,1,Budget Smartphone,An affordable smartphone,phone2.jpg,199.99,TRUE
3,1,Tablet,A versatile tablet device,tablet1.jpg,299.99,TRUE
4,1,Wireless Headphones,High-quality wireless headphones,headphones1.jpg,99.99,TRUE
5,1,Laptop,A powerful laptop computer,laptop1.jpg,899.99,TRUE
6,2,T-shirt,Cotton T-shirt in various colors,tshirt1.jpg,19.99,TRUE
7,2,Jeans,Classic denim jeans,jeans1.jpg,39.99,TRUE
8,2,Sneakers,Stylish sneakers for everyday wear,sneakers1.jpg,49.99,TRUE
9,2,Dress,Elegant evening dress,dress1.jpg,79.99,TRUE
10,2,Shorts,Comfortable summer shorts,shorts1.jpg,29.99,TRUE
11,3,Sofa,Comfortable three-seater sofa,sofa1.jpg,499.99,TRUE
12,3,Coffee Table,Wooden coffee table,table1.jpg,89.99,TRUE
13,3,Dining Set,5-piece dining set,dining1.jpg,299.99,TRUE
14,3,Wardrobe,Spacious wardrobe for storage,wardrobe1.jpg,199.99,TRUE
15,3,Bed,Queen-size bed with a headboard,bed1.jpg,399.99,TRUE
16,4,Novel,Bestselling novel,novel1.jpg,14.99,TRUE
17,4,Textbook,Educational textbook,textbook1.jpg,59.99,TRUE
18,5,Tennis Racket,High-performance tennis racket,tennis1.jpg,79.99,TRUE
19,5,Basketball,Official-size basketball,basketball1.jpg,19.99,TRUE
20,5,Yoga Mat,Non-slip yoga mat,yogamat1.jpg,29.99,TRUE
